"Certainty.to.vote.in.general.election.10.is.certain","GEVote","DidyouvoteGE2015","Past.vote","Eurefvote","Certainty.to.vote.in.EU.referendum.10.is.certain","Gender","Age","Region","Ethnicity","Education","Housing","mosaic_2014_groups","postcode","parliamentary_constituency","local_authority"
"10","Conservative","Yes.I.voted","UKIP","Leave","10","Female","68","South.West","White","Level.1","Owned.outright.by.household","L","EX14 ","E14000996","E07000040"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Male","30","Yorkshire.and.The.Humber","White","Level.4","Being.bought.on.a.mortgage","O","BD23 ","E14000928","E07000163"
"10","UKIP","Yes.I.voted","UKIP",NA,NA,"Female","47","Wales","White","Dont.know","Being.bought.on.a.mortgage","F","LL12 ","W07000044","W06000006"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Male","30","North.West","White","Level.1","Owned.with.a.mortgage.or.loan","J","FY2 ","E14000572","E06000009"
NA,"Labour","Yes.I.voted","Labour","Remain","10","Female","59","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","D","KA26 ","S14000006","S12000028"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Dont.know","9","Female","48","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","D","DD10 ","S14000058","S12000034"
"7","Liberal.Democrat","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Leave","10","Male","27","North.West","White","Level.2","Rented.from.a.private.landlord.or.letting.agency","L","FY2 ","E14000572","E06000009"
NA,"Labour","Yes.I.voted","Labour","Remain","10","Male","45","Scotland","White","Level.4","Owned.with.a.mortgage.or.loan","D","ML7 ","S14000003","S12000044"
"10","Labour","Yes.I.voted","Labour","Leave","10","Male","34","North.West","White","Level.4","Being.bought.on.a.mortgage","O","M44 ","E14001054","E08000006"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Dont.know","6","Female","56","Scotland","White","Other","Being.bought.on.a.mortgage","G","G82 ","S14000059","S12000039"
"10","Other.party","Yes.I.voted","Liberal.Democrat","Dont.know","10","Female","55","East.Midlands","White","Level.1","Shared.ownership.part.owned.and.part.rented","D","WN3 ","E14001039","E08000010"
"10","Conservative","Yes.I.voted","Conservative","Dont.know","10","Male","75","South.West","White","No.formal.qualifications","Owned.outright.by.household","C","TA20 ","E14001060","E07000189"
NA,"Labour","Yes.I.voted","Labour","Leave","10","Male","64","London","White","No.qualifications","Social.housing.rented.other.than.from.council/local.authority","A","W13 ","E14000674","E09000009"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Female","46","Yorkshire.and.The.Humber","White","Level.2","Owned.with.a.mortgage.or.loan","F","LS13 ","E14000781","E08000035"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Male","62","South.East","White","Level.2","Owned.with.a.mortgage.or.loan","F","BN15 ","E14000682","E07000223"
"10","Labour","Yes.I.voted","Labour","Remain","10","Male","78","South.East","White","Level.1","Owned.with.a.mortgage.or.loan","E","DN3 ","E14000668","E08000017"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","77","North.East","White","Level.2","Owned.outright.by.household","E","TS7 ","E14000820","E06000002"
"5","Conservative","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Remain","5","Male","34","North.West","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","J","M6 ","E14000911","E08000006"
"3","None.-.wont.vote","No.I.chose.not.to.vote","0","Dont.know",NA,"Female","26","West.Midlands","White","Other","Rented.from.private.landlord","J","TF12 ","E14000799","E06000051"
"3","Labour","Yes.I.voted","Labour","Remain","10","Male","67","London","White","No.qualifications","Prefer.not.to.say","K","KW1 ","S14000009","S12000017"
"1","None.-.wont.vote","No.I.chose.not.to.vote",NA,"Dont.know","1","Female","21","East.of.England","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","H","CB6 ","E14000842","E07000009"
NA,"Dont.know","No.I.chose.not.to.vote",NA,"Would.not.vote","1","Prefer.not.to.say","56","London","Prefer.not.to.say","0","Prefer.not.to.say","K","SE15 ","E14000615","E09000028"
NA,"Dont.know","Yes.I.voted","Other.party","Dont.know","10","Female","43","London","Prefer.not.to.say","0","Prefer.not.to.say","N","W10 ","E14001036","E09000033"
"10","Dont.know","Yes.I.voted","Conservative",NA,NA,"Female","56","West.Midlands","White","Level.1.or.2","Owned.outright.by.household","B","B98 ","E14000892","E07000236"
"9","UKIP","Yes.I.voted","UKIP",NA,NA,"Male","49","North.West","White","No.formal.qualifications","Rented.from.Housing.Association","I","L5 ","E14000794","E08000012"
NA,"Labour","Yes.I.voted","Labour","Remain","10","Female","62","London","White","Level.4","Owned.outright.by.household","A","N1 ","E14000721","E09000012"
"9","UKIP","Yes.I.voted","UKIP","Leave",NA,"Male","59","East.Midlands","White","No.formal.qualifications","Owned.outright.by.household","F","B60 ","E14000605","E07000234"
NA,"Would.not.vote","Yes.I.voted","Labour","Remain","6","Male","53","Wales","White","Level.1","Owned.with.a.mortgage.or.loan","F","CF35 ","W07000074","W06000013"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Dont.know","Dont.know","Female","60","South.East","White","Level.1","Social.housing.rented.other.than.from.council/local.authority","I","ML6 ","S14000003","S12000044"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Labour","Leave","10","Male","68","Wales","White","Level.2","Owned.outright.by.household","E","CF46 ","W07000076","W06000018"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","42","West.Midlands","White","Level.2","Owned.with.a.mortgage.or.loan","B","ST3 ","E14000974","E06000021"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Remain","10","Female","52","Scotland","White","Level.3","Rented.from.council/local.authority","K","KY5 ","S14000041","S12000015"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Labour","Remain","10","Female","57","Wales","White","Level.4","Owned.with.a.mortgage.or.loan","D","SA7 ","W07000048","W06000011"
"9","Conservative","Yes.I.voted","Conservative","Remain","6","Female","Prefer.not.to.say","North.West","White","Level.1","Owned.with.a.mortgage.or.loan","H","B78 ","E14000986","E07000199"
NA,"Other.party","No.I.chose.not.to.vote",NA,"Dont.know","2","Male","34","London","Black./.African./.Caribbean./.Black.British","Level.3","Rented.from.council/local.authority","N","HA3 ","E14000731","E09000015"
"5","Dont.know","Yes.I.voted","Labour","Remain","5","Female","53","East.Midlands","White","Level.1","Rented.from.council/local.authority","K","DE15 ","E14000610","E07000193"
NA,"UKIP","Yes.I.voted","Dont.remember","Leave","10","Male","74","Wales","White","Other","Owned.outright.by.household","D","SA73 ","W07000065","W06000009"
NA,"Labour","Yes.I.voted","Labour","Leave","10","Female","59","Wales","White","Level.3","Owned.with.a.mortgage.or.loan","E","LL18 ","W07000060","W06000004"
"9","Labour","Yes.I.voted","Labour","Dont.know","5","Male","Prefer.not.to.say","North.East","Asian/Asian.British","Level.1","Rented.from.council/local.authority","F","SO19 ","E14000955","E06000045"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Female","50","East.of.England","White","Level.3","Rented.from.private.landlord","D","CB8 ","E14001034","E07000201"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Female","61","East.of.England","White","Level.1.or.2","Owned.outright.by.household","B","SG18 ","E14000841","E06000056"
NA,"Conservative","Yes.I.voted","Conservative","Remain","10","Male","43","Wales","White","Level.1","Owned.with.a.mortgage.or.loan","C","SA32 ","W07000067","W06000010"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Dont.remember","Remain","10","Female","60","Wales","White","Level.1","Prefer.not.to.say","E","CF62 ","W07000078","W06000014"
NA,"Dont.know","Yes.I.voted","Conservative","Dont.know","10","Male","41","London","White","Level.2","Owned.with.a.mortgage.or.loan","N","N20 ","E14000636","E09000003"
"10","Green.Party","No.I.was.ineligible.to.vote.in.that.General.Election",NA,"Remain","Dont.know","Female","46","Yorkshire.and.The.Humber","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","N","S5 ","E14000921","E08000019"
"1","None.-.wont.vote","No.I.chose.not.to.vote","0","Remain","1","Female","35","South.East","White","0","Rented.from.a.private.landlord.or.letting.agency","C","ME9 ","E14000927","E07000113"
NA,"Green.Party","Yes.I.voted","Green.Party","Remain","10","Female","37","London","White","Level.2","Owned.outright.by.household","A","SW12 ","E14000978","E09000022"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Male","47","South.East","White","Level.2","Owned.with.a.mortgage.or.loan","G","RH10 ","E14000652","E07000226"
NA,"Liberal.Democrat","Yes.I.voted","Conservative","Dont.know","10","Male","73","Wales","White","Other","Owned.outright.by.household","E","SA6 ","W07000048","W06000011"
"10","Dont.know","Yes.I.voted","Labour","Leave",NA,"Male","68","North.East","White","Other","Owned.outright.by.household","F","TS16 ","E14000971","E06000004"
"Dont.know","Dont.know","Yes.I.voted","Labour","Leave","10","Male","54","London","White","0","Owned.outright.by.household","N","ST6 ","E14000973","E06000021"
"4","Conservative","No.I.chose.not.to.vote",NA,"Remain","10","Male","63","North.West","White","Level.1","Owned.outright.by.household","K","SN6 ","E14000860","E06000054"
"0","Green.Party","Yes.I.voted","Labour","Leave","0","Male","76","North.West","White","No.qualifications","Rented.from.council/local.authority","D","NG22 ","E14000924","E07000175"
NA,"UKIP","Yes.I.voted","UKIP","Leave","10","Male","58","London","White","Level.2","Owned.outright.by.household","K","N18 ","E14000687","E09000010"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Male","72","Prefer.not.to.say","Prefer.not.to.say","Level.2","Prefer.not.to.say","B","NE61 ","E14001014","E06000057"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Leave","10","Female","52","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","G","G72 ","S14000056","S12000029"
NA,"Conservative","Yes.I.voted","Conservative","Remain","10","Male","74","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","B","AB15 ","S14000002","S12000033"
NA,"Would.not.vote","Yes.I.voted","Conservative","Leave","10","Female","63","Wales","White","Level.1","Owned.outright.by.household","F","SA70 ","W07000066","W06000009"
"10","Labour","Yes.I.voted","Labour","Leave","10","Female","59","North.East","White","No.qualifications","Rented.from.council/local.authority","K","TS25 ","E14000733","E06000001"
"5","Dont.know","Yes.I.voted","Other.party","Leave",NA,"Prefer.not.to.say","71","South.East","White","Dont.know","Owned.outright.by.household","E","RM7 ","E14000900","E09000016"
"10","Labour","No.I.was.ineligible.to.vote.in.that.General.Election",NA,"Remain","10","Male","49","Scotland","White","Level.4","Owned.outright.by.household","A","G41 ","S14000034","S12000046"
"10","Dont.know","Cant.remember","0","Dont.know",NA,"Prefer.not.to.say","Prefer.not.to.say","Prefer.not.to.say","Other.ethnic.group","Dont.know","Other/Dont.know","I","TN9 ","E14000997","E07000115"
"10","Dont.know","Yes.I.voted","Liberal.Democrat",NA,NA,"Female","42","South.East","White","Level.4","Being.bought.on.a.mortgage","G","KT8 ","E14000697","E07000207"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","57","North.West","White","Level.2","Owned.with.a.mortgage.or.loan","C","WA13 ","E14000987","E06000049"
"9","UKIP","Yes.I.voted","UKIP","Leave","9","Female","50","East.of.England","White","Level.1","Owned.with.a.mortgage.or.loan","D","NR29 ","E14000717","E07000145"
"10","Liberal.Democrat","Yes.I.voted","Liberal.Democrat","Remain",NA,"Male","54","Scotland","White","Level.4","Owned.outright.by.household","D","KY2 ","S14000036","S12000015"
"10","Dont.know","Yes.I.voted","Conservative",NA,NA,"Female","44","Yorkshire.and.The.Humber","White","Other","Being.bought.on.a.mortgage","G","LS27 ","E14000826","E08000035"
"1","Liberal.Democrat","Yes.I.voted","Liberal.Democrat","Remain","6","Female","65","South.West","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","C","HU10 ","E14000724","E06000011"
NA,"Dont.know","Yes.I.voted","Labour","Leave","10","Male","63","London","Black./.African./.Caribbean./.Black.British","0","Social.housing.rented.other.than.from.council/local.authority","K","HA0 ","E14000592","E09000005"
NA,"Conservative","Yes.I.voted","Conservative","Dont.know","10","Male","44","Scotland","White","Level.2","Owned.with.a.mortgage.or.loan","F","IV2 ","S14000039","S12000017"
NA,"Liberal.Democrat","Yes.I.voted","Conservative","Remain","10","Male","62","Wales","Mixed","Level.4","Owned.with.a.mortgage.or.loan","F","LL32 ","W07000058","W06000003"
"10","Liberal.Democrat","Yes.I.voted","Liberal.Democrat","Leave","10","Prefer.not.to.say","Prefer.not.to.say","South.East","White","Level.1","Prefer.not.to.say","F","S40 ","E14000632","E07000034"
"10","Labour","Yes.I.voted","UKIP","Dont.know",NA,"Male","31","Yorkshire.and.The.Humber","White","Other","Being.bought.on.a.mortgage","F","DN15 ","E14000596","E06000013"
"10","UKIP","Yes.I.voted","UKIP",NA,NA,"Male","49","Yorkshire.and.The.Humber","White","Level.4","Rented.from.Local.Authority","I","LS7 ","E14000779","E08000035"
"9","Scottish.National.Party.SNP","Yes.I.voted","Labour","Remain","9","Female","65","North.West","White","Level.2","Owned.with.a.mortgage.or.loan","F","G82 ","S14000005","S12000035"
"10","UKIP","Yes.I.voted","Conservative","Leave","10","Female","52","Yorkshire.and.The.Humber","White","Level.1","Owned.with.a.mortgage.or.loan","F","RH10 ","E14000753","E07000228"
NA,"Conservative","Yes.I.voted","Conservative","Leave","10","Male","20","London","Mixed./.Multiple.Ethnic.Groups","Level.2","Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency","F","KT9 ","E14000770","E09000021"
"10","Liberal.Democrat","Yes.I.voted","Liberal.Democrat","Remain",NA,"Female","37","Yorkshire.and.The.Humber","White","Level.4","Being.bought.on.a.mortgage","G","S11 ","E14000922","E08000019"
NA,"Conservative","Yes.I.voted","Conservative","Leave","10","Female","74","Scotland","White","Level.2","Owned.outright.by.household","D","DG1 ","S14000014","S12000006"
"10","Conservative","Yes.I.voted","Conservative","Remain",NA,"Male","32","South.East","White","Level.4","Being.bought.on.a.mortgage","O","SP11 ","E14000857","E07000093"
"10","Scottish.National.Party.SNP","No.I.wanted.to.vote.but.was.unable.to.do.so","0",NA,NA,"Male","70","North.West","White","No.formal.qualifications","Owned.outright.by.household","B","BL0 ","E14000611","E08000002"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Male","32","London","White","Level.4","Being.bought.on.a.mortgage","O","TW7 ","E14000593","E09000018"
"10","Dont.know","Yes.I.voted","Dont.remember","Dont.know","10","Male","51","South.East","White","Level.2","Rented.from.council/local.authority","D","NR12 ","E14000603","E07000144"
"9","Labour","Yes.I.voted","Labour","Remain","9","Prefer.not.to.say","36","South.East","Prefer.not.to.say","Level.4","Prefer.not.to.say","N","SL2 ","E14000930","E06000039"
"5","Dont.know","Yes.I.voted","Dont.remember","Dont.know","5","Female","41","East.of.England","White","Level.2","Owned.with.a.mortgage.or.loan","H","KA19 ","S14000006","S12000028"
"10","Conservative","Yes.I.voted","Conservative","Leave",NA,"Male","67","Wales","White","Level.1.or.2","Owned.outright.by.household","E","CF38 ","W07000075","W06000016"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Male","75","North.West","White","Apprenticeship","Owned.outright.by.household","E","L36 ","E14000775","E08000011"
"10","Dont.know","Yes.I.voted","0",NA,NA,"Male","Prefer.not.to.say","Yorkshire.and.The.Humber","White","Dont.know","Prefer.not.to.say","I","S71 ","E14000541","E08000016"
"10","Conservative","Yes.I.voted","Conservative","Dont.know","9","Male","61","Wales","White","Level.1","Owned.outright.by.household","F","CF38 ","W07000075","W06000016"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Female","46","North.East","White","Level.3","Rented.from.council/local.authority","K","NE22 ","E14001014","E06000057"
NA,"Dont.know","Yes.I.voted","Conservative","Remain","10","Male","58","London","Other.Ethnic.Group","Level.4","Owned.outright.by.household","A","W13 ","E14000674","E09000009"
"6","Dont.know","Yes.I.voted","Labour","Dont.know","9","Female","65","North.East","White","Level.4","Owned.outright.by.household","E","DH8 ","E14000856","E06000047"
"1","Dont.know","No.I.chose.not.to.vote","blank","Leave","10","Male","37","East.of.England","White","Level.1.or.2","Rented.from.Housing.Association","I","NR1 ","E14000864","E07000148"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","Prefer.not.to.say","Yorkshire.and.The.Humber","Black/Black.British","Level.2","Owned.with.a.mortgage.or.loan","H","BN10 ","E14000597","E07000063"
"10","Labour","Yes.I.voted","Labour","Remain","10","Male","Prefer.not.to.say","South.West","White","Level.3","Owned.with.a.mortgage.or.loan","C","SN3 ","E14000851","E06000030"
NA,"UKIP","Yes.I.voted","UKIP","Leave","10","Male","72","Wales","White","Level.1","Owned.outright.by.household","E","CF83 ","W07000076","W06000018"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Male","68","South.East","White","Level.4","Owned.outright.by.household","E","OX14 ","E14000874","E07000180"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","26","East.Midlands","White","Dont.know","Rented.from.private.landlord","J","NN16 ","E14000769","E07000153"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Male","32","South.East","White","Level.3","Being.bought.on.a.mortgage","H","PE19 ","E14000757","E07000011"
"10","UKIP","Yes.I.voted","UKIP",NA,NA,"Male","74","South.East","White","Level.3","Owned.outright.by.household","B","RH15 ","E14000817","E07000228"
NA,"Dont.know","Yes.I.voted","Labour","Remain","10","Male","62","Wales","White","Other","Owned.outright.by.household","F","CF64 ","W07000080","W06000014"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Male","54","South.East","White","Level.1.or.2","Owned.outright.by.household","B","TA3 ","E14000988","E07000190"
"Dont.know","Green.Party","Yes.I.voted","Conservative","Dont.know","Dont.know","Female","72","Prefer.not.to.say","Asian/Asian.British","0","Owned.outright.by.household","H","OX26 ","E14000539","E07000177"
"10","Liberal.Democrat","Yes.I.voted","Conservative","Remain","10","Male","44","London","Mixed","Level.4","Rented.from.Housing.Association","K","E3 ","E14000882","E09000030"
"10","Dont.know","Yes.I.voted","Labour","Leave","10","Female","48","North.East","White","Level.1","Owned.with.a.mortgage.or.loan","J","TS19 ","E14000970","E06000004"
NA,"Conservative","Yes.I.voted","Conservative","Leave","10","Male","63","Wales","White","No.qualifications","Owned.with.a.mortgage.or.loan","K","CF33 ","W07000073","W06000013"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","66","Yorkshire.and.The.Humber","White","No.qualifications","Rented.from.council/local.authority","D","YO25 ","E14000556","E06000011"
"10","Labour","Yes.I.voted","Labour","Remain","10","Male","33","North.West","Mixed","Level.4","Owned.outright.by.household","H","M46 ","E14000785","E08000010"
"10","Dont.know","Yes.I.voted","Conservative","Remain","10","Female","47","South.West","White","Level.2","Owned.outright.by.household","I","TA6 ","E14000595","E07000188"
"8","Dont.know","Yes.I.voted","Conservative","Dont.know","8","Female","54","South.East","White","Level.2","Owned.with.a.mortgage.or.loan","F","HP4 ","E14000951","E07000096"
"7","Dont.know","Yes.I.voted","Conservative","Leave","10","Female","28","South.East","White","Level.4","Rented.from.a.private.landlord.or.letting.agency","N","RH2 ","E14000893","E07000211"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","77","East.Midlands","White","Level.3","Owned.outright.by.household","L","NG34 ","E14000929","E07000139"
"5","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP",NA,NA,"Female","Prefer.not.to.say","Scotland","Prefer.not.to.say","Dont.know","Rented.from.Housing.Association","M","ML6 ","S14000003","S12000044"
"2","Dont.know","No.I.chose.not.to.vote","0",NA,NA,"Female","37","Wales","White","Level.1.or.2","Being.bought.on.a.mortgage","M","CF23 ","W07000050","W06000015"
NA,"Conservative","Yes.I.voted","Conservative","Remain","8","Male","47","Scotland","White","Level.2","Owned.with.a.mortgage.or.loan","J","DD8 ","S14000004","S12000041"
NA,"Conservative","Yes.I.voted","Labour","Remain","10","Male","68","Scotland","White","Level.1","Owned.outright.by.household","L","KA12 ","S14000010","S12000021"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Labour","Leave","10","Male","74","Wales","White","0","Owned.with.a.mortgage.or.loan","E","CF36 ","W07000073","W06000013"
NA,"Liberal.Democrat","No.I.was.ineligible.to.vote.in.that.General.Election",NA,"Would.not.vote","2","Female","46","Scotland","White","Level.4","Owned.with.a.mortgage.or.loan","J","G32 ","S14000030","S12000046"
NA,"Conservative","Yes.I.voted","Conservative","Remain","10","Female","32","London","White","Level.2","Owned.with.a.mortgage.or.loan","B","BR1 ","E14000604","E09000006"
NA,"Conservative","Yes.I.voted","Labour","Leave","10","Male","54","Scotland","White","No.qualifications","Owned.with.a.mortgage.or.loan","N","EH21 ","S14000020","S12000010"
NA,"Labour","Yes.I.voted","Labour","Leave","10","Female","34","Scotland","White","Level.3","Rented.from.council/local.authority","K","EH42 ","S14000020","S12000010"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","56","South.East","White","Level.4","Owned.outright.by.household","A","GU9 ","E14000953","E07000216"
NA,"Labour","Yes.I.voted","Labour","Leave","10","Male","58","Wales","White","0","Rented.from.council/local.authority","G","NP20 ","W07000056","W06000022"
NA,"Dont.know","Yes.I.voted","Dont.know","Dont.know","Dont.know","Male","26","Scotland","White","0","Prefer.not.to.say","C","AB37 ","S14000046","S12000020"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Male","60","East.of.England","White","Level.3","Being.bought.on.a.mortgage","M","NR32 ","E14001022","E07000206"
NA,"Other.party","Cant.remember",NA,"Dont.know","Dont.know","Female","73","Scotland","White","0","Prefer.not.to.say","D","AB42 ","S14000007","S12000034"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Male","50","London","Black/Black.British","Level.4","Owned.with.a.mortgage.or.loan","N","EN3 ","E14000691","E09000010"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Male","53","Yorkshire.and.The.Humber","White","Level.3","Rented.from.Local.Authority","I","DN7 ","E14000667","E08000017"
NA,"Dont.know","Yes.I.voted","Dont.know","Dont.know","10","Male","77","Scotland","White","Level.4","Owned.outright.by.household","B","ML11 ","S14000042","S12000029"
NA,"Conservative","Yes.I.voted","Conservative","Leave","10","Male","77","Scotland","White","Other","Owned.outright.by.household","C","TD15 ","S14000008","S12000026"
"10","Labour","Yes.I.voted","Labour","Leave","7","Female","41","North.West","White","Level.1.or.2","Being.bought.on.a.mortgage","J","M25 ","E14000612","E08000002"
"10","Conservative","Yes.I.voted","Conservative","Remain","8","Female","50","South.West","White","Level.2","Owned.with.a.mortgage.or.loan","B","PO14 ","E14000699","E07000087"
"5","UKIP","Yes.I.voted","UKIP","Dont.know","1","Female","28","South.East","White","Level.1.or.2","Rented.from.private.landlord","O","AL5 ","E14000749","E07000240"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","72","Scotland","White","No.qualifications","Rented.from.council/local.authority","E","B37 ","E14000812","E08000029"
"7","Dont.know","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Leave","10","Male","38","Yorkshire.and.The.Humber","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","M","PE15 ","E14000842","E07000010"
"10","UKIP","Yes.I.voted","UKIP",NA,NA,"Female","53","East.Midlands","White","Level.3","Rented.from.Housing.Association","blank","NN11 ","E14000660","E07000151"
"1","UKIP","Cant.remember","0",NA,NA,"Female","29","Yorkshire.and.The.Humber","White","Other","Rented.from.Local.Authority","I","S5 ","E14000921","E08000019"
"10","Labour","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Leave","10","Female","Prefer.not.to.say","Wales","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","H","DE11 ","E14000935","E07000039"
"10","Labour","Yes.I.voted","Labour","Remain","10","Male","28","North.East","White","Level.4","Rented.from.a.private.landlord.or.letting.agency","O","CH1 ","E14000640","E06000050"
NA,"UKIP","Yes.I.voted","UKIP","Leave","10","Female","57","Wales","White","0","Prefer.not.to.say","M","NP4 ","W07000053","W06000020"
"7","UKIP","Yes.I.voted","UKIP","Remain","10","Female","57","North.East","White","Level.1","Prefer.not.to.say","J","SK17 ","E14000748","E07000037"
"10","UKIP","Yes.I.voted","Labour","Remain","10","Male","21","Yorkshire.and.The.Humber","White","Level.3","Rented.from.private.landlord","H","LS25 ","E14000917","E07000169"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Leave","10","Female","60","Scotland","White","No.formal.qualifications","Rented.from.Local.Authority","K","EH47 ","S14000044","S12000040"
"9","Conservative","Yes.I.voted","Conservative","Leave","10","Male","57","Yorkshire.and.The.Humber","White","Other","Being.bought.on.a.mortgage","G","BD19 ","E14000548","E08000034"
NA,"Conservative","Yes.I.voted","Conservative","Remain","10","Female","71","Scotland","White","0","Owned.outright.by.household","C","TD2 ","S14000008","S12000026"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Remain","10","Female","46","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","G","G72 ","S14000056","S12000029"
"7","Conservative","Yes.I.voted","Conservative","Remain","7","Male","31","London","Asian/Asian.British","Level.4","Owned.with.a.mortgage.or.loan","N","E7 ","E14000679","E09000025"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Female","32","North.West","White","Level.4","Rented.from.private.landlord","N","L22 ","E14000581","E08000014"
"10","UKIP","Yes.I.voted","UKIP","Remain","10","Male","34","London","White","No.qualifications","Shared.ownership.part.owned.and.part.rented","K","SE2 ","E14000696","E09000011"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Conservative","Remain","10","Male","54","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","C","KA13 ","S14000010","S12000021"
NA,"Dont.know","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Remain","Dont.know","Female","66","London","Prefer.not.to.say","0","Prefer.not.to.say","F","KT9 ","E14000770","E09000021"
NA,"Dont.know","Yes.I.voted","Dont.remember","Dont.know","10","Female","40","Wales","White","Level.2","Owned.outright.by.household","D","SA9 ","W07000068","W06000023"
"10","Conservative","Yes.I.voted","Conservative","Remain",NA,"Female","57","North.East","White","Level.1.or.2","Being.bought.on.a.mortgage","B","GU35 ","E14000680","E07000085"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","50","North.West","White","Level.3","Owned.outright.by.household","B","PR2 ","E14001057","E07000123"
NA,"Labour","Yes.I.voted","Scottish.National.Party.SNP","Remain","10","Male","41","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","A","EH6 ","S14000023","S12000036"
"2","Labour","Yes.I.voted","Labour","Remain","10","Female","48","East.of.England","White","Level.1","Social.housing.rented.other.than.from.council/local.authority","D","CM9 ","E14000806","E07000074"
NA,"Labour","Yes.I.voted","Labour","Remain","10","Female","62","Wales","White","Level.4","Owned.outright.by.household","B","LL48 ","W07000061","W06000002"
NA,"Labour","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Leave","10","Female","57","London","White","Level.1","Rented.from.council/local.authority","N","N16 ","E14000720","E09000012"
"7","UKIP","Yes.I.voted","Conservative","Leave","10","Female","39","East.of.England","White","Level.1","Owned.with.a.mortgage.or.loan","C","B98 ","E14000892","E07000236"
"10","Labour","Yes.I.voted","Labour","Remain",NA,"Male","74","Yorkshire.and.The.Humber","White","No.formal.qualifications","Rented.from.Housing.Association","L","BD14 ","E14000589","E08000032"
"5","None.-.wont.vote","Yes.I.voted","Liberal.Democrat",NA,NA,"Female","33","Scotland","White","Level.4","Owned.outright.by.household","M","EH32 ","S14000020","S12000010"
NA,"Dont.know","Yes.I.voted","Labour","Remain","10","Female","55","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","G","DD5 ","S14000015","S12000042"
